drug_id,drug_name,condition,reason,source
drug_002764,Viagra,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002766,Vibramycin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002766,Vibramycin,pregnancy,Pregnancy category D,drugs_com
drug_002767,Vicks Dayquil Cold And Flu Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002768,Vicks Dayquil Severe Cold And Flu,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002769,Vicks Formula 44 Custom Care Cough And Cold Pm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002770,Vicks Nyquil Cold And Flu Nighttime Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002771,Vicks Nyquil Cold And Flu Nighttime Relief Alcohol Free,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002772,Vicks Nyquil D Cold And Flu Nighttime Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002773,Vicks Nyquil Severe Cold And Flu,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002776,Victoza,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002777,Vigabatrin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002778,Vigadrone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002779,Viibryd,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002780,Vilamit Mb,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002781,Vilazodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002782,Vilevev Mb,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002784,Vimovo,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002785,Vimpat,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002786,Vinblastine,pregnancy,Pregnancy category D,drugs_com
drug_002787,Vincristine,pregnancy,Pregnancy category D,drugs_com
drug_002792,Virtussin Dac,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002795,Vitapap,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002796,Vivactil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002798,Voltaren,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002798,Voltaren,pregnancy,Pregnancy category D,drugs_com
drug_002800,Vortioxetine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002801,Vraylar,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002803,Vytorin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002803,Vytorin,pregnancy,Pregnancy category X,drugs_com
drug_002804,Vyvanse,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002805,Wal Finate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002807,Wegovy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002809,Wellbutrin Sr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002810,Wellbutrin Xl,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002815,Xanax,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002815,Xanax,pregnancy,Pregnancy category D,drugs_com
drug_002817,Xcopri,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002820,Xenical,pregnancy,Pregnancy category X,drugs_com
drug_002822,Xigduo Xr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002823,Ximino,pregnancy,Pregnancy category D,drugs_com
drug_002824,Xodol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002825,Xolox,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002831,Xtampza Er,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002832,Xultophy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002835,Xyzal,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002836,Yasmin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002836,Yasmin,pregnancy,Pregnancy category X,drugs_com
drug_002837,Yaz,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002837,Yaz,pregnancy,Pregnancy category X,drugs_com
drug_002841,Z Sleep,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002842,Zaleplon,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002844,Zarah,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002844,Zarah,pregnancy,Pregnancy category X,drugs_com
drug_002845,Zarontin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002846,Zaroxolyn,concurrent alcohol use,Alcohol interaction flag,drugs_com
