drug_id,drug_name,condition,reason,source
drug_000120,Advil Children S Allergy Sinus,pregnancy,Pregnancy category D,drugs_com
drug_000121,Advil Congestion Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000121,Advil Congestion Relief,pregnancy,Pregnancy category D,drugs_com
drug_000122,Advil Infant S Concentrated Drops,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000123,Advil Liqui Gels,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000124,Advil Migraine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000125,Advil Pm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000126,Advil Sinus Congestion And Pain,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000126,Advil Sinus Congestion And Pain,pregnancy,Pregnancy category D,drugs_com
drug_000127,Adzenys Er,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000128,Adzenys Xr Odt,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000130,Aflaxen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000131,Afrezza,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000136,Ala Hist Ir,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000137,Ala Hist Pe,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000141,Ala Tet,pregnancy,Pregnancy category D,drugs_com
drug_000142,Alahist D,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000146,Albiglutide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000149,Aldactazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000150,Aldactone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000151,Aldoril,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000155,Aleve,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000156,Aleve Pm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000157,Alfentanil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000160,Aliskiren,pregnancy,Pregnancy category D,drugs_com
drug_000161,Aliskiren Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000161,Aliskiren Hydrochlorothiazide,pregnancy,Pregnancy category D,drugs_com
drug_000163,Alka Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000164,Alka Seltzer Plus D Multi Symptom Sinus And Cold Liquid Gels,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000165,Alka Seltzer Wake Up Call,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000166,All Day Allergy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000167,All Day Allergy Children S,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000168,All Day Allergy D,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000169,All Day Pain Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000170,All Day Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000171,Allan Tannate Pediatric,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000178,Aller Chlor,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000180,Aller Tec,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000181,Aller Tec Children S,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000182,Allerest Maximum Strength,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000183,Allerest Pe,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000184,Allerfrim,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000186,Allergy Multi Symptom,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000187,Allergy Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000189,Allergy Relief D,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000191,Allermax,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000192,Alli,pregnancy,Pregnancy category X,drugs_com
drug_000199,Alogliptin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000200,Alogliptin Metformin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000201,Alogliptin Pioglitazone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000205,Alprazolam,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000205,Alprazolam,pregnancy,Pregnancy category D,drugs_com
drug_000206,Alprazolam Intensol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000206,Alprazolam Intensol,pregnancy,Pregnancy category D,drugs_com
drug_000207,Alprostadil,pregnancy,Pregnancy category X,drugs_com
drug_000210,Altace,pregnancy,Pregnancy category D,drugs_com
drug_000212,Altenol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000214,Altocor,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000214,Altocor,pregnancy,Pregnancy category X,drugs_com
drug_000215,Altoprev,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000215,Altoprev,pregnancy,Pregnancy category X,drugs_com
drug_000224,Amaryl,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000225,Ambien,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000226,Ambien Cr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000227,Ambifed Cd,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000231,Amikacin,pregnancy,Pregnancy category D,drugs_com
drug_000232,Amikin,pregnancy,Pregnancy category D,drugs_com
drug_000233,Amikin Pediatric,pregnancy,Pregnancy category D,drugs_com
drug_000234,Amiloride,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000235,Amiloride Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000236,Aminofen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000239,Amitriptyline,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000240,Amitriptyline Chlordiazepoxide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000241,Amitriptyline Perphenazine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000244,Amlodipine Atorvastatin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000244,Amlodipine Atorvastatin,pregnancy,Pregnancy category X,drugs_com
drug_000245,Amlodipine Benazepril,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000245,Amlodipine Benazepril,pregnancy,Pregnancy category D,drugs_com
drug_000247,Amlodipine Hydrochlorothiazide Olmesartan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000247,Amlodipine Hydrochlorothiazide Olmesartan,pregnancy,Pregnancy category D,drugs_com
drug_000248,Amlodipine Hydrochlorothiazide Valsartan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000248,Amlodipine Hydrochlorothiazide Valsartan,pregnancy,Pregnancy category D,drugs_com
drug_000249,Amlodipine Olmesartan,pregnancy,Pregnancy category D,drugs_com
drug_000250,Amlodipine Perindopril,pregnancy,Pregnancy category D,drugs_com
drug_000251,Amlodipine Telmisartan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000251,Amlodipine Telmisartan,pregnancy,Pregnancy category D,drugs_com
drug_000252,Amlodipine Valsartan,pregnancy,Pregnancy category D,drugs_com
drug_000255,Amnesteem,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000255,Amnesteem,pregnancy,Pregnancy category X,drugs_com
drug_000256,Amobarbital,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000256,Amobarbital,pregnancy,Pregnancy category D,drugs_com
drug_000258,Amoxapine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000262,Amphetamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000263,Amphetamine Dextroamphetamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000268,Amzeeq,pregnancy,Pregnancy category D,drugs_com
drug_000269,Anacin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000270,Anacin Advanced Headache Formula,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000271,Anacin Aspirin Free,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000275,Anaprox,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000276,Anaprox Ds,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000282,Anjeso,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000287,Anti Diarrheal,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000288,Antinaus 50,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000289,Apadaz,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000292,Aphedrid,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000293,Apidra,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000294,Aplenzin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000296,Apra,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000299,Aprodine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000300,Aptensio Xr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000301,Aptiom,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000307,Aquazide H,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000308,Arava,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000308,Arava,pregnancy,Pregnancy category X,drugs_com
drug_000309,Arazlo,pregnancy,Pregnancy category X,drugs_com
drug_000310,Arbinoxa,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000314,Aripiprazole,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000315,Aristada,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000316,Aristada Initio,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000323,Arthritis Pain,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000324,Arthritis Pain Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000325,Arthrotec,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000325,Arthrotec,pregnancy,Pregnancy category X,drugs_com
drug_000328,Ascriptin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000329,Asenapine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000333,Aspergum,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000334,Aspir Low,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000335,Aspirin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000336,Aspirin Butalbital Caffeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000337,Aspirin Caffeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000338,Aspirin Caffeine Dihydrocodeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000339,Aspirin Carisoprodol Codeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000340,Aspirin Chlorpheniramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000341,Aspirin Oxycodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000342,Aspiritab,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000343,Aspirtab,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000345,Astelin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000346,Astepro,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000347,Astepro Allergy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000349,Astramorph Pf,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000350,Atacand,pregnancy,Pregnancy category D,drugs_com
drug_000351,Atacand Hct,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000351,Atacand Hct,pregnancy,Pregnancy category D,drugs_com
drug_000352,Atasol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000356,Atenolol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000356,Atenolol,pregnancy,Pregnancy category D,drugs_com
drug_000357,Atenolol Chlorthalidone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000357,Atenolol Chlorthalidone,pregnancy,Pregnancy category D,drugs_com
drug_000358,Ativan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000358,Ativan,pregnancy,Pregnancy category D,drugs_com
drug_000360,Atorvastatin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000360,Atorvastatin,pregnancy,Pregnancy category X,drugs_com
drug_000361,Atorvastatin Ezetimibe,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000361,Atorvastatin Ezetimibe,pregnancy,Pregnancy category X,drugs_com
drug_000363,Atripla,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000363,Atripla,pregnancy,Pregnancy category D,drugs_com
drug_000364,Atropine Difenoxin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000365,Atropine Diphenoxylate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000368,Atti Plex P,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000368,Atti Plex P,pregnancy,Pregnancy category X,drugs_com
drug_000372,Aurophen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000373,Avalide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000373,Avalide,pregnancy,Pregnancy category D,drugs_com
drug_000374,Avanafil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000375,Avandia,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000376,Avapro,pregnancy,Pregnancy category D,drugs_com
drug_000387,Aventyl Hydrochloride,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000389,Avidoxy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000389,Avidoxy,pregnancy,Pregnancy category D,drugs_com
drug_000396,Azasan,pregnancy,Pregnancy category D,drugs_com
drug_000397,Azathioprine,pregnancy,Pregnancy category D,drugs_com
drug_000399,Azelastine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000400,Azelastine Fluticasone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000402,Azilsartan Medoxomil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000402,Azilsartan Medoxomil,pregnancy,Pregnancy category D,drugs_com
drug_000403,Azilsartan Medoxomil Chlorthalidone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000403,Azilsartan Medoxomil Chlorthalidone,pregnancy,Pregnancy category D,drugs_com
drug_000406,Azor,pregnancy,Pregnancy category D,drugs_com
drug_000411,Azuphen Mb,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000414,Back And Body Extra Strength,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000415,Backaid Inflammatory Pain Formula,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000417,Bactrim,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000417,Bactrim,pregnancy,Pregnancy category D,drugs_com
drug_000418,Bactrim Ds,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000418,Bactrim Ds,pregnancy,Pregnancy category D,drugs_com
drug_000423,Banophen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000425,Basaglar,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000427,Bayer Aspirin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000428,Bayer Aspirin Extra Strength Plus,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000429,Bayer Aspirin Regimen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000430,Bayer Back And Body,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000431,Bayer Extra Strength Back And Body,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000432,Bazedoxifene Conjugated Estrogens,pregnancy,Pregnancy category X,drugs_com
drug_000433,Bc Arthritis,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000434,Bc Fast Pain Relief,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000438,Belbuca,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000439,Belladonna,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000440,Belsomra,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000441,Benadryl,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000442,Benadryl Allergy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000443,Benadryl Allergy Plus Cold,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000444,Benadryl Allergy Plus Congestion,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000445,Benadryl Allergy Plus Sinus Headache,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000446,Benazepril,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000446,Benazepril,pregnancy,Pregnancy category D,drugs_com
drug_000447,Benazepril Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000447,Benazepril Hydrochlorothiazide,pregnancy,Pregnancy category D,drugs_com
drug_000448,Bendroflumethiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000449,Bendroflumethiazide Nadolol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000454,Benicar,pregnancy,Pregnancy category D,drugs_com
drug_000455,Benicar Hct,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000455,Benicar Hct,pregnancy,Pregnancy category D,drugs_com
drug_000474,Benzoic Acid Hyoscyamine Methenamine Methylene Blue Phenyl Salicylate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000482,Benzphetamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000482,Benzphetamine,pregnancy,Pregnancy category X,drugs_com
drug_000488,Betaxolol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000490,Bevespi Aerosphere,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000491,Beyaz,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000491,Beyaz,pregnancy,Pregnancy category X,drugs_com
drug_000504,Biotussin Dac,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000511,Bisoprolol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000512,Bisoprolol Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000518,Bontril Pdm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000522,Bp Allergy Jr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000527,Brevibloc,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000530,Brexpiprazole,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000532,Breztri Aerosphere,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000533,Brivaracetam,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000534,Briviact,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000536,Brodspec,pregnancy,Pregnancy category D,drugs_com
drug_000537,Brohist D,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000538,Bromaline,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000539,Bromatan Plus,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000540,Bromax,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000541,Bromocriptine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000542,Brompheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000543,Brompheniramine Codeine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000544,Brompheniramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000545,Brompheniramine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000547,Brotapp,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000549,Budeprion Sr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000552,Budesonide Formoterol Glycopyrrolate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000554,Buprenex,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000555,Buprenorphine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000556,Bupropion,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000557,Bupropion Naltrexone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000557,Bupropion Naltrexone,pregnancy,Pregnancy category X,drugs_com
drug_000558,Buspar,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000559,Buspirone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000560,Butorphanol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000561,Butrans,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000562,Bydureon,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000563,Bydureon Bcise,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000564,Byetta,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000565,Bystolic,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000566,C P M,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000567,C Tanna 12,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000571,Caduet,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000571,Caduet,pregnancy,Pregnancy category X,drugs_com
drug_000572,Cafergot,pregnancy,Pregnancy category X,drugs_com
drug_000574,Caffeine Ergotamine,pregnancy,Pregnancy category X,drugs_com
drug_000577,Calan Sr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000595,Caldolor,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000598,Cambia,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000598,Cambia,pregnancy,Pregnancy category D,drugs_com
drug_000603,Canagliflozin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000604,Canagliflozin Metformin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000605,Candesartan,pregnancy,Pregnancy category D,drugs_com
drug_000606,Candesartan Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000606,Candesartan Hydrochlorothiazide,pregnancy,Pregnancy category D,drugs_com
drug_000608,Caplyta,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000609,Capron Dm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000610,Capron Dmt,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000618,Captopril,pregnancy,Pregnancy category D,drugs_com
drug_000619,Captopril Hydrochlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000619,Captopril Hydrochlorothiazide,pregnancy,Pregnancy category D,drugs_com
drug_000626,Carbamazepine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000626,Carbamazepine,pregnancy,Pregnancy category D,drugs_com
drug_000627,Carbetapentane Chlorpheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000628,Carbinoxamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000629,Carboplatin,pregnancy,Pregnancy category D,drugs_com
drug_000630,Carboxine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000634,Cardura,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000635,Cariprazine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000636,Carospir,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000638,Carvedilol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000641,Castor Oil,pregnancy,Pregnancy category X,drugs_com
drug_000642,Cataflam,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000642,Cataflam,pregnancy,Pregnancy category D,drugs_com
drug_000643,Catapres,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000644,Catapres Tts,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000645,Caverject,pregnancy,Pregnancy category X,drugs_com
drug_000646,Caverject Impulse,pregnancy,Pregnancy category X,drugs_com
drug_000654,Cefotan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000656,Cefotetan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000669,Celecoxib Tramadol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000671,Celexa,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000672,Celontin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000673,Cenobamate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000679,Cetafen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000680,Cetirizine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000681,Cetirizine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000682,Cheratussin Dac,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000685,Children S Motrin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000686,Children S Silapap,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000687,Children S Triacting,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000688,Children S Triacting Night Time,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000689,Children S Tylenol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000690,Childrens Tylenol Cold Plus Cough,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000691,Chlo Amine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000692,Chlo Hist,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000693,Chlophedianol Dexbrompheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000694,Chlophedianol Dexchlorpheniramine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000695,Chlophedianol Pyrilamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000696,Chlor Mal,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000697,Chlor Trimeton,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000698,Chloral Hydrate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000699,Chlorambucil,pregnancy,Pregnancy category D,drugs_com
drug_000700,Chlorcyclizine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000701,Chlordiazepoxide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000702,Chlorex A,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000703,Chlorex A 12,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000704,Chlorothiazide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000705,Chlorpheniramine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000706,Chlorpheniramine Codeine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000707,Chlorpheniramine Codeine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000708,Chlorpheniramine Hydrocodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000709,Chlorpheniramine Ibuprofen Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000710,Chlorpheniramine Ibuprofen Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000710,Chlorpheniramine Ibuprofen Pseudoephedrine,pregnancy,Pregnancy category D,drugs_com
drug_000711,Chlorpheniramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000712,Chlorpheniramine Phenylephrine Phenyltoloxamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000713,Chlorpheniramine Phenylephrine Pyrilamine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000714,Chlorpheniramine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000715,Chlorpromazine,concurrent alcohol use,Alcohol interaction flag,drugs_com
